Xstart,Ystart,Xend,Yend,OptimalG
94,885,1876,887,4
95,884,1711,885,4
94,882,1549,883,"3,9"
95,885,1380,885,"3,9"
96,884,1212,883,"3,9"
96,885,1046,885,"3,9"
96,885,879,885,"3,9"
94,885,712,884,"3,9"
96,885,546,884,"3,9"
95,885,380,884,"3,9"
95,883,211,884,"3,9"
96,885,962,808,"4,7"
96,884,1461,814,"4,4"
94,886,1628,814,"4,3"
95,884,1794,817,"4,3"
97,885,963,730,6
96,885,1299,733,"5,2"
95,883,1546,732,"4,9"
95,884,1795,731,"4,8"
94,882,961,649,8
93,884,1210,645,"6,8"
94,885,1462,647,6
91,887,1795,648,"5,5"
